"Statistic Label","Month","Residency","Expenditure Type","UNIT","VALUE"
"Expenditure of Overnight Foreign Visitors","2023 October","Great Britain (England, Scotland & Wales)","Prepayments","Euro Million","4.2"
"Expenditure of Overnight Foreign Visitors","2023 October","Great Britain (England, Scotland & Wales)","Accommodation","Euro Million","37"
"Expenditure of Overnight Foreign Visitors","2023 October","Great Britain (England, Scotland & Wales)","Day-to-Day Expenditure","Euro Million","52.9"
"Expenditure of Overnight Foreign Visitors","2023 October","Great Britain (England, Scotland & Wales)","All Travel Expenditure","Euro Million","122.1"
"Expenditure of Overnight Foreign Visitors","2023 October","Other Europe (3)","Fare","Euro Million","36.5"
"Expenditure of Overnight Foreign Visitors","2023 October","Other Europe (3)","Prepayments","Euro Million","5.4"
"Expenditure of Overnight Foreign Visitors","2023 October","Other Europe (3)","Accommodation","Euro Million","69.4"
"Expenditure of Overnight Foreign Visitors","2023 October","Other Europe (3)","Day-to-Day Expenditure","Euro Million","75.9"
"Expenditure of Overnight Foreign Visitors","2023 October","Other Europe (3)","All Travel Expenditure","Euro Million","187.2"
"Expenditure of Overnight Foreign Visitors","2023 October","USA & Canada","Fare","Euro Million","99.8"
"Expenditure of Overnight Foreign Visitors","2023 October","USA & Canada","Prepayments","Euro Million","18.2"
"Expenditure of Overnight Foreign Visitors","2023 October","USA & Canada","Accommodation","Euro Million","107.4"
"Expenditure of Overnight Foreign Visitors","2023 October","USA & Canada","Day-to-Day Expenditure","Euro Million","87.9"
"Expenditure of Overnight Foreign Visitors","2023 October","USA & Canada","All Travel Expenditure","Euro Million","313.4"
"Expenditure of Overnight Foreign Visitors","2023 October","Other Residencies","Fare","Euro Million","15"
"Expenditure of Overnight Foreign Visitors","2023 October","Other Residencies","Prepayments","Euro Million","2"
"Expenditure of Overnight Foreign Visitors","2023 October","Other Residencies","Accommodation","Euro Million","24.2"
"Expenditure of Overnight Foreign Visitors","2023 October","Other Residencies","Day-to-Day Expenditure","Euro Million","31.2"
"Expenditure of Overnight Foreign Visitors","2023 October","Other Residencies","All Travel Expenditure","Euro Million","72.5"
"Expenditure of Overnight Foreign Visitors","2023 October","All Residencies","Fare","Euro Million","179.3"
"Expenditure of Overnight Foreign Visitors","2023 October","All Residencies","Prepayments","Euro Million","29.8"
"Expenditure of Overnight Foreign Visitors","2023 October","All Residencies","Accommodation","Euro Million","238.1"
"Expenditure of Overnight Foreign Visitors","2023 October","All Residencies","Day-to-Day Expenditure","Euro Million","247.9"
"Expenditure of Overnight Foreign Visitors","2023 October","All Residencies","All Travel Expenditure","Euro Million","695.1"
"Expenditure of Overnight Foreign Visitors","2023 November","Great Britain (England, Scotland & Wales)","Fare","Euro Million","24.2"
"Expenditure of Overnight Foreign Visitors","2023 November","Great Britain (England, Scotland & Wales)","Prepayments","Euro Million","2.4"
"Expenditure of Overnight Foreign Visitors","2023 November","Great Britain (England, Scotland & Wales)","Accommodation","Euro Million","28.9"
"Expenditure of Overnight Foreign Visitors","2023 November","Great Britain (England, Scotland & Wales)","Day-to-Day Expenditure","Euro Million","47.8"
"Expenditure of Overnight Foreign Visitors","2023 November","Great Britain (England, Scotland & Wales)","All Travel Expenditure","Euro Million","103.3"
"Expenditure of Overnight Foreign Visitors","2023 November","Other Europe (3)","Fare","Euro Million","27.4"
"Expenditure of Overnight Foreign Visitors","2023 November","Other Europe (3)","Prepayments","Euro Million","2.9"
"Expenditure of Overnight Foreign Visitors","2023 November","Other Europe (3)","Accommodation","Euro Million","51.5"
"Expenditure of Overnight Foreign Visitors","2023 November","Other Europe (3)","Day-to-Day Expenditure","Euro Million","61.6"
